"DateTime";"XBOX";"PS";"PC"
"2018-09-21 00:00:00";363500;195875;0
"2018-09-22 00:00:00";376382;228574;0
"2018-09-23 00:00:00";398269;311752;0
"2018-09-24 00:00:00";411351;298695;0
"2018-09-25 00:00:00";400070;357106;0
"2018-09-26 00:00:00";401957;395071;453467
"2018-09-27 00:00:00";400829;411193;0
"2018-09-28 00:00:00";370490;370129;446111
"2018-09-29 00:00:00";355341;361426;459200
"2018-09-30 00:00:00";354241;366319;451289
"2018-10-01 00:00:00";362525;373514;434794
"2018-10-02 00:00:00";373115;389293;477222
"2018-10-03 00:00:00";368184;387560;447083
"2018-10-04 00:00:00";359321;386881;416667
"2018-10-05 00:00:00";369248;391121;429565
"2018-10-06 00:00:00";361761;388103;435674
"2018-10-07 00:00:00";371119;391900;415702
"2018-10-08 00:00:00";393608;427490;466491
"2018-10-09 00:00:00";412343;448547;475419
"2018-10-10 00:00:00";414108;451438;496222
"2018-10-11 00:00:00";406015;444100;489545
"2018-10-12 00:00:00";425349;470407;503304
"2018-10-13 00:00:00";420145;460130;509657
"2018-10-14 00:00:00";409483;456063;504253
"2018-10-15 00:00:00";417862;465333;508474
"2018-10-16 00:00:00";424124;475456;527612
"2018-10-17 00:00:00";421932;476584;522692
"2018-10-18 00:00:00";426415;478284;531407
"2018-10-19 00:00:00";449167;502417;559088
"2018-10-20 00:00:00";441732;498629;553931
"2018-10-21 00:00:00";437000;490368;541810
"2018-10-22 00:00:00";438902;494950;560989
"2018-10-23 00:00:00";443319;498522;572794
"2018-10-24 00:00:00";437787;497290;567362
"2018-10-25 00:00:00";443507;502298;588108
"2018-10-26 00:00:00";468278;529125;611392
"2018-10-27 00:00:00";447285;506368;586871
"2018-10-28 00:00:00";433180;493381;571650
"2018-10-29 00:00:00";430750;492097;567545
"2018-10-30 00:00:00";431681;494278;567641
"2018-10-31 00:00:00";425160;490257;565558
"2018-11-01 00:00:00";423375;488306;573397
"2018-11-02 00:00:00";439134;499229;584847
"2018-11-03 00:00:00";441972;499455;582824
"2018-11-04 00:00:00";423292;480257;564735
"2018-11-05 00:00:00";414215;465076;553504
"2018-11-06 00:00:00";401500;445632;538963
"2018-11-07 00:00:00";400729;458169;540126
"2018-11-08 00:00:00";408667;469108;562972
"2018-11-09 00:00:00";403396;460472;551203
"2018-11-10 00:00:00";385958;439597;518320
"2018-11-11 00:00:00";365514;421000;496500
