"DateTime";"Cross";"PC"
"2023-09-21 00:00:00";2289966;2703077
"2023-09-22 00:00:00";2224007;2721826
"2023-09-23 00:00:00";2440486;3064786
"2023-09-24 00:00:00";2852587;3291000
"2023-09-25 00:00:00";3125902;3578114
"2023-09-26 00:00:00";3181167;3784548
"2023-09-27 00:00:00";3270396;3537710
"2023-09-28 00:00:00";3277853;3775345
"2023-09-29 00:00:00";3166083;3732192
"2023-09-30 00:00:00";3225483;3857417
"2023-10-01 00:00:00";3255374;3595333
"2023-10-02 00:00:00";3259076;3497500
"2023-10-03 00:00:00";3399441;3365963
"2023-10-04 00:00:00";3445196;3338815
"2023-10-05 00:00:00";3405806;3430409
"2023-10-06 00:00:00";3232792;3399320
"2023-10-07 00:00:00";2815486;3190677
"2023-10-08 00:00:00";2699854;2955129
"2023-10-09 00:00:00";2774382;2964552
"2023-10-10 00:00:00";2865218;3151968
"2023-10-11 00:00:00";2860830;3157588
"2023-10-12 00:00:00";2733825;2964125
"2023-10-13 00:00:00";2748174;3019944
"2023-10-14 00:00:00";2870215;3211424
"2023-10-15 00:00:00";2877176;3131828
"2023-10-16 00:00:00";2898139;3234154
"2023-10-17 00:00:00";2930859;3229464
"2023-10-18 00:00:00";2958958;3260033
"2023-10-19 00:00:00";2999639;3346160
"2023-10-20 00:00:00";3009746;3313923
"2023-10-21 00:00:00";3024208;3397815
"2023-10-22 00:00:00";2997587;3292000
"2023-10-23 00:00:00";3025692;3314929
"2023-10-24 00:00:00";3027615;3316621
"2023-10-25 00:00:00";3021867;3311273
"2023-10-26 00:00:00";3028303;3374963
"2023-10-27 00:00:00";3024535;3387000
"2023-10-28 00:00:00";3075111;3424000
"2023-10-29 00:00:00";3050868;3371103
"2023-10-30 00:00:00";3066965;3388423
"2023-10-31 00:00:00";3126285;3560571
"2023-11-01 00:00:00";3152785;3510700
"2023-11-02 00:00:00";3170625;3471364
"2023-11-03 00:00:00";3162392;3509061
"2023-11-04 00:00:00";3152007;3487067
"2023-11-05 00:00:00";3073133;3456156
"2023-11-06 00:00:00";2927347;3353128
"2023-11-07 00:00:00";2912646;3172188
"2023-11-08 00:00:00";2746069;2887942
