"DateTime";"XBOX";"PS";"PC"
"2021-09-22 00:00:00";496667;1350000;407600
"2021-09-23 00:00:00";1555105;1773704;1618151
"2021-09-24 00:00:00";1438558;1741350;1561714
"2021-09-25 00:00:00";1380736;1730476;1587026
"2021-09-26 00:00:00";1335556;1654385;1560417
"2021-09-27 00:00:00";1274435;1569056;1490867
"2021-09-28 00:00:00";1297090;1541955;1462429
"2021-09-29 00:00:00";1312652;1586014;1451591
"2021-09-30 00:00:00";1331009;1589176;1520370
"2021-10-01 00:00:00";1278484;1515257;1446453
"2021-10-02 00:00:00";1243992;1502336;1511689
"2021-10-03 00:00:00";1263349;1511540;1530983
"2021-10-04 00:00:00";1273138;1508271;1530000
"2021-10-05 00:00:00";1234019;1501204;1522333
"2021-10-06 00:00:00";1223196;1505417;1535672
"2021-10-07 00:00:00";1214682;1490341;1496518
"2021-10-08 00:00:00";1158169;1426007;1438253
"2021-10-09 00:00:00";1134909;1368069;1411632
"2021-10-10 00:00:00";1122057;1335229;1373917
"2021-10-11 00:00:00";1131800;1335063;1364319
"2021-10-12 00:00:00";1140818;1359600;1391671
"2021-10-13 00:00:00";1143079;1357816;1395627
"2021-10-14 00:00:00";1123475;1324664;1393349
"2021-10-15 00:00:00";1101119;1289715;1364712
"2021-10-16 00:00:00";1095385;1296149;1357813
"2021-10-17 00:00:00";1078992;1291883;1367133
"2021-10-18 00:00:00";1080916;1297444;1373283
"2021-10-19 00:00:00";1079541;1291910;1364091
"2021-10-20 00:00:00";1043431;1238757;1324930
"2021-10-21 00:00:00";1049226;1246292;1311429
"2021-10-22 00:00:00";1047342;1243643;1293514
"2021-10-23 00:00:00";1050790;1230403;1263817
"2021-10-24 00:00:00";1023803;1194750;1262605
"2021-10-25 00:00:00";974264;1131590;1228242
"2021-10-26 00:00:00";967175;1130201;1198673
"2021-10-27 00:00:00";958993;1112847;1185682
"2021-10-28 00:00:00";940429;1096667;1168060
"2021-10-29 00:00:00";887736;1053440;1123019
"2021-10-30 00:00:00";881536;1044028;1108893
"2021-10-31 00:00:00";888800;1047534;1117566
"2021-11-01 00:00:00";885680;1044250;1116536
"2021-11-02 00:00:00";877993;1028903;1092977
"2021-11-03 00:00:00";872689;1020382;1081670
"2021-11-04 00:00:00";840930;963368;1026040
"2021-11-05 00:00:00";822167;956201;1013283
"2021-11-06 00:00:00";792917;924778;990987
"2021-11-07 00:00:00";759729;882215;945607
"2021-11-08 00:00:00";688715;793431;867617
"2021-11-09 00:00:00";688273;801035;857917
"2021-11-10 00:00:00";674556;787813;804716
"2021-11-11 00:00:00";657383;767206;787015
"2021-11-12 00:00:00";672285;777000;799992
"2021-11-13 00:00:00";680148;784213;818321
"2021-11-14 00:00:00";675874;778965;813228
"2021-11-15 00:00:00";667333;769014;805455
"2021-11-16 00:00:00";672190;775583;799809
"2021-11-17 00:00:00";669500;770167;789871
"2021-11-18 00:00:00";669479;770549;795063
"2021-11-19 00:00:00";664611;762368;781985
"2021-11-20 00:00:00";612611;685930;720711
"2021-11-21 00:00:00";564811;637465;682225
"2021-11-22 00:00:00";543188;626403;673000
"2021-11-23 00:00:00";554021;639194;675514
"2021-11-24 00:00:00";553608;636597;666667
"2021-11-25 00:00:00";529979;619000;646421
"2021-11-26 00:00:00";538839;627118;660875
"2021-11-27 00:00:00";541611;627556;664588
"2021-11-28 00:00:00";532542;619840;662630
"2021-11-29 00:00:00";531722;616639;654586
"2021-11-30 00:00:00";537319;623694;661427
"2021-12-01 00:00:00";532874;622660;659384
"2021-12-02 00:00:00";530847;619111;658809
"2021-12-03 00:00:00";543894;626806;667720
"2021-12-04 00:00:00";557277;638722;673808
"2021-12-05 00:00:00";553155;637090;675000
"2021-12-06 00:00:00";554720;640301;679239
"2021-12-07 00:00:00";560182;649139;677011
"2021-12-08 00:00:00";553594;647259;669658
"2021-12-09 00:00:00";546681;639770;672958
"2021-12-10 00:00:00";532873;619699;653024
"2021-12-11 00:00:00";507880;594639;637563
"2021-12-12 00:00:00";484437;572479;613156
"2021-12-13 00:00:00";454043;519500;577258
"2021-12-14 00:00:00";444818;513507;566047
"2021-12-15 00:00:00";433669;501319;563184
"2021-12-16 00:00:00";424695;490820;550253
"2021-12-17 00:00:00";401279;476142;536301
"2021-12-18 00:00:00";393696;457859;495057
"2021-12-19 00:00:00";388302;442826;492389
"2021-12-20 00:00:00";388622;439333;487056
"2021-12-21 00:00:00";375655;413916;458099
"2021-12-22 00:00:00";358489;392106;431026
"2021-12-23 00:00:00";343549;384396;424653
"2021-12-24 00:00:00";334375;391639;425632
"2021-12-25 00:00:00";327895;380500;413123
"2021-12-26 00:00:00";310161;347569;389212
"2021-12-27 00:00:00";302965;340465;374292
"2021-12-28 00:00:00";310181;351035;387673
"2021-12-29 00:00:00";313583;355625;384577
"2021-12-30 00:00:00";314007;360389;392627
"2021-12-31 00:00:00";323111;370028;399287
"2022-01-01 00:00:00";326132;370417;403162
"2022-01-02 00:00:00";327993;370965;402941
"2022-01-03 00:00:00";320951;364438;401254
"2022-01-04 00:00:00";303757;351375;386902
"2022-01-05 00:00:00";300479;345908;384458
"2022-01-06 00:00:00";301778;348132;389541
"2022-01-07 00:00:00";304722;353076;390905
"2022-01-08 00:00:00";301160;347590;387667
"2022-01-09 00:00:00";301917;344979;384032
"2022-01-10 00:00:00";300303;336493;381242
"2022-01-11 00:00:00";291762;321347;369261
"2022-01-12 00:00:00";287958;314729;365471
"2022-01-13 00:00:00";281014;310153;358517
"2022-01-14 00:00:00";278796;310451;357488
"2022-01-15 00:00:00";279259;307563;357088
"2022-01-16 00:00:00";272819;292271;350541
"2022-01-17 00:00:00";250958;272375;323546
"2022-01-18 00:00:00";254538;279771;323931
"2022-01-19 00:00:00";247576;278306;313974
"2022-01-20 00:00:00";241931;275833;311859
"2022-01-21 00:00:00";241750;272902;312601
"2022-01-22 00:00:00";243597;277938;311386
"2022-01-23 00:00:00";245266;279368;312585
