"DateTime";"Cross";"PC"
"2023-09-21 00:00:00";259244;661957
"2023-09-22 00:00:00";161955;159944
"2023-09-23 00:00:00";170035;172778
"2023-09-24 00:00:00";222014;215429
"2023-09-25 00:00:00";257238;262156
"2023-09-26 00:00:00";259590;272719
"2023-09-27 00:00:00";230549;243219
"2023-09-28 00:00:00";214014;228655
"2023-09-29 00:00:00";196125;219793
"2023-09-30 00:00:00";186431;202185
"2023-10-01 00:00:00";182362;190621
"2023-10-02 00:00:00";191701;199536
"2023-10-03 00:00:00";189722;197588
"2023-10-04 00:00:00";183542;191879
"2023-10-05 00:00:00";167618;177774
"2023-10-06 00:00:00";153021;171121
"2023-10-07 00:00:00";124625;138556
"2023-10-08 00:00:00";126326;141410
"2023-10-09 00:00:00";133014;143400
"2023-10-10 00:00:00";137319;146154
"2023-10-11 00:00:00";126986;143371
"2023-10-12 00:00:00";116625;126914
"2023-10-13 00:00:00";112948;127471
"2023-10-14 00:00:00";96705;104361
"2023-10-15 00:00:00";94158;100847
"2023-10-16 00:00:00";98611;106456
"2023-10-17 00:00:00";102626;110000
"2023-10-18 00:00:00";104811;115186
"2023-10-19 00:00:00";106785;115000
"2023-10-20 00:00:00";107649;117235
"2023-10-21 00:00:00";94715;103591
"2023-10-22 00:00:00";88934;99059
"2023-10-23 00:00:00";92944;103279
"2023-10-24 00:00:00";96330;107306
"2023-10-25 00:00:00";94360;104378
"2023-10-26 00:00:00";91462;100488
"2023-10-27 00:00:00";86311;96949
"2023-10-28 00:00:00";67576;73706
"2023-10-29 00:00:00";63569;69355
"2023-10-30 00:00:00";64597;69712
"2023-10-31 00:00:00";68583;73234
"2023-11-01 00:00:00";69087;75143
"2023-11-02 00:00:00";67760;71294
"2023-11-03 00:00:00";66345;72271
"2023-11-04 00:00:00";57726;61411
"2023-11-05 00:00:00";55961;58569
"2023-11-06 00:00:00";56125;57750
"2023-11-07 00:00:00";56577;57706
"2023-11-08 00:00:00";56021;58516
"2023-11-09 00:00:00";55273;58037
"2023-11-10 00:00:00";54709;58942
"2023-11-11 00:00:00";50768;54019
"2023-11-12 00:00:00";50422;52518
"2023-11-13 00:00:00";50365;51970
"2023-11-14 00:00:00";51998;54192
"2023-11-15 00:00:00";53521;57467
"2023-11-16 00:00:00";53066;56426
"2023-11-17 00:00:00";52377;55365
"2023-11-18 00:00:00";50794;52981
"2023-11-19 00:00:00";50953;52875
"2023-11-20 00:00:00";51428;53538
"2023-11-21 00:00:00";53805;57241
"2023-11-22 00:00:00";54171;56879
"2023-11-23 00:00:00";56939;60220
"2023-11-24 00:00:00";55629;59452
"2023-11-25 00:00:00";56399;59235
"2023-11-26 00:00:00";54633;56694
"2023-11-27 00:00:00";52776;54333
"2023-11-28 00:00:00";53467;54111
"2023-11-29 00:00:00";53371;55690
"2023-11-30 00:00:00";52895;54182
"2023-12-01 00:00:00";53377;53759
"2023-12-02 00:00:00";54635;55875
"2023-12-03 00:00:00";55450;55000
"2023-12-04 00:00:00";55914;55188
"2023-12-05 00:00:00";56833;57440
"2023-12-06 00:00:00";57715;58688
"2023-12-07 00:00:00";58398;60450
"2023-12-08 00:00:00";57031;58480
"2023-12-09 00:00:00";51078;49300
"2023-12-10 00:00:00";52410;51800
"2023-12-11 00:00:00";54146;53143
"2023-12-12 00:00:00";55302;54163
"2023-12-13 00:00:00";53322;56333
"2023-12-14 00:00:00";52341;52769
"2023-12-15 00:00:00";52909;53237
"2023-12-16 00:00:00";52969;52278
"2023-12-17 00:00:00";52630;51288
"2023-12-18 00:00:00";52873;50421
"2023-12-19 00:00:00";54386;53206
"2023-12-20 00:00:00";54435;54000
"2023-12-21 00:00:00";54839;53925
"2023-12-22 00:00:00";58119;57639
"2023-12-23 00:00:00";58432;60583
"2023-12-24 00:00:00";60120;62250
"2023-12-25 00:00:00";58523;60000
"2023-12-26 00:00:00";57930;58667
"2023-12-27 00:00:00";58823;62600
"2023-12-28 00:00:00";60699;62844
"2023-12-29 00:00:00";61484;64250
"2023-12-30 00:00:00";63734;69500
"2023-12-31 00:00:00";67129;71800
"2024-01-01 00:00:00";66076;68938
"2024-01-02 00:00:00";52803;54833
"2024-01-03 00:00:00";55352;57594
"2024-01-04 00:00:00";56847;59886
"2024-01-05 00:00:00";56570;59833
"2024-01-06 00:00:00";54094;55821
"2024-01-07 00:00:00";57084;56233
"2024-01-08 00:00:00";55218;54563
"2024-01-09 00:00:00";58064;56344
"2024-01-10 00:00:00";59562;58136
"2024-01-11 00:00:00";60373;60000
"2024-01-12 00:00:00";56496;58955
"2024-01-13 00:00:00";53626;53577
"2024-01-14 00:00:00";53282;52722
"2024-01-15 00:00:00";52243;53800
"2024-01-16 00:00:00";54509;55792
"2024-01-17 00:00:00";55148;55944
"2024-01-18 00:00:00";55500;56136
"2024-01-19 00:00:00";55115;57389
"2024-01-20 00:00:00";56230;57375
"2024-01-21 00:00:00";55293;54167
"2024-01-22 00:00:00";51176;49031
"2024-01-23 00:00:00";52340;49438
"2024-01-24 00:00:00";54590;53313
"2024-01-25 00:00:00";54619;53929
"2024-01-26 00:00:00";60332;59625
"2024-01-27 00:00:00";63292;64438
"2024-01-28 00:00:00";63890;63375
"2024-01-29 00:00:00";65181;64563
"2024-01-30 00:00:00";65433;66438
"2024-01-31 00:00:00";64785;64350
