"DateTime";"XBOX";"PS";"PC"
"2020-09-30 00:00:00";0;0;0
"2020-10-01 00:00:00";0;0;0
"2020-10-02 00:00:00";892200;909030;1266000
"2020-10-03 00:00:00";893111;960426;1200458
"2020-10-04 00:00:00";929385;982000;1310871
"2020-10-05 00:00:00";932036;974115;1230444
"2020-10-06 00:00:00";896300;934500;1200000
"2020-10-07 00:00:00";865120;910133;1228419
"2020-10-08 00:00:00";823667;883475;1136385
"2020-10-09 00:00:00";773625;834750;1047519
"2020-10-10 00:00:00";774385;835745;1032800
"2020-10-11 00:00:00";778033;843500;1039125
"2020-10-12 00:00:00";764500;823545;964400
"2020-10-13 00:00:00";787500;843217;977118
"2020-10-14 00:00:00";786968;851511;990188
"2020-10-15 00:00:00";770345;817756;978962
"2020-10-16 00:00:00";752028;792792;956353
"2020-10-17 00:00:00";739588;764566;914207
"2020-10-18 00:00:00";697442;718600;865343
"2020-10-19 00:00:00";681476;702633;814222
"2020-10-20 00:00:00";663933;684355;787721
"2020-10-21 00:00:00";654763;664548;782923
"2020-10-22 00:00:00";652250;655250;735188
"2020-10-23 00:00:00";651966;656500;748063
"2020-10-24 00:00:00";667889;674019;772778
"2020-10-25 00:00:00";660000;667582;757297
"2020-10-26 00:00:00";658844;668000;754095
"2020-10-27 00:00:00";653800;661814;746750
"2020-10-28 00:00:00";646379;661327;754595
"2020-10-29 00:00:00";673036;684268;778694
"2020-10-30 00:00:00";679565;695373;786061
"2020-10-31 00:00:00";659824;678842;776633
"2020-11-01 00:00:00";634304;653193;768645
"2020-11-02 00:00:00";637742;657327;755444
"2020-11-03 00:00:00";642600;663458;764730
"2020-11-04 00:00:00";640185;664964;752786
"2020-11-05 00:00:00";649407;673375;779833
"2020-11-06 00:00:00";641792;666190;775125
"2020-11-07 00:00:00";647714;669965;762143
"2020-11-08 00:00:00";630731;657217;748000
"2020-11-09 00:00:00";632895;655632;743885
"2020-11-10 00:00:00";630212;660355;749313
"2020-11-11 00:00:00";632306;662521;756244
"2020-11-12 00:00:00";652833;678391;781410
"2020-11-13 00:00:00";646889;679288;775706
"2020-11-14 00:00:00";616048;641322;751333
"2020-11-15 00:00:00";582259;599270;717171
"2020-11-16 00:00:00";568278;589047;713405
"2020-11-17 00:00:00";574242;594754;705879
"2020-11-18 00:00:00";557477;586246;702765
"2020-11-19 00:00:00";549596;576814;699861
"2020-11-20 00:00:00";543600;569418;689929
"2020-11-21 00:00:00";543579;565302;681500
"2020-11-22 00:00:00";523288;541338;669317
"2020-11-23 00:00:00";505826;538969;666167
"2020-11-24 00:00:00";501583;526136;663750
"2020-11-25 00:00:00";474083;502254;639765
"2020-11-26 00:00:00";493431;520300;659289
"2020-11-27 00:00:00";507347;538241;680977
"2020-11-28 00:00:00";515820;546557;684543
"2020-11-29 00:00:00";491089;512661;645458
"2020-11-30 00:00:00";486173;513569;644341
"2020-12-01 00:00:00";485490;511356;634347
"2020-12-02 00:00:00";486865;508466;631408
"2020-12-03 00:00:00";483792;500517;608289
"2020-12-04 00:00:00";484034;498471;610870
"2020-12-05 00:00:00";472390;473338;595179
"2020-12-06 00:00:00";457783;461686;574673
"2020-12-07 00:00:00";447316;455414;561304
"2020-12-08 00:00:00";451643;465829;579967
"2020-12-09 00:00:00";453582;463844;583635
"2020-12-10 00:00:00";464137;472852;593231
"2020-12-11 00:00:00";442607;463644;588311
"2020-12-12 00:00:00";413740;446544;570000
"2020-12-13 00:00:00";397061;429258;562000
"2020-12-14 00:00:00";392836;419194;547712
"2020-12-15 00:00:00";380400;397932;523536
"2020-12-16 00:00:00";380962;400200;514604
"2020-12-17 00:00:00";386357;408403;520396
"2020-12-18 00:00:00";390857;410159;516020
"2020-12-19 00:00:00";379255;394716;500460
"2020-12-20 00:00:00";366797;385239;489196
"2020-12-21 00:00:00";368846;383963;484582
"2020-12-22 00:00:00";369846;386881;478653
"2020-12-23 00:00:00";365536;381831;460596
"2020-12-24 00:00:00";372490;389662;471792
"2020-12-25 00:00:00";386021;392431;483632
"2020-12-26 00:00:00";385906;390151;479831
"2020-12-27 00:00:00";374304;378988;476387
"2020-12-28 00:00:00";372464;377145;481097
"2020-12-29 00:00:00";370907;376423;471550
"2020-12-30 00:00:00";369051;373589;479356
"2020-12-31 00:00:00";372224;374928;477808
"2021-01-01 00:00:00";370887;376556;481627
"2021-01-02 00:00:00";356816;360934;473960
"2021-01-03 00:00:00";341163;350325;465862
"2021-01-04 00:00:00";339873;348655;459271
"2021-01-05 00:00:00";343439;354807;461048
"2021-01-06 00:00:00";337481;346338;463541
"2021-01-07 00:00:00";328545;335682;453821
"2021-01-08 00:00:00";334154;339294;461352
"2021-01-09 00:00:00";322510;322355;440000
"2021-01-10 00:00:00";309955;311514;435553
"2021-01-11 00:00:00";306576;306265;427691
"2021-01-12 00:00:00";305397;309935;427621
"2021-01-13 00:00:00";308870;312111;425271
"2021-01-14 00:00:00";315490;319000;434755
"2021-01-15 00:00:00";320706;324134;433510
"2021-01-16 00:00:00";317208;320814;428096
"2021-01-17 00:00:00";309375;310812;420594
"2021-01-18 00:00:00";301613;301297;409938
"2021-01-19 00:00:00";302640;303692;411383
"2021-01-20 00:00:00";295291;302405;414418
"2021-01-21 00:00:00";304358;312171;418220
"2021-01-22 00:00:00";308564;314157;423413
"2021-01-23 00:00:00";322136;319647;428875
"2021-01-24 00:00:00";318364;315557;435800
"2021-01-25 00:00:00";324491;321464;438633
"2021-01-26 00:00:00";336579;331647;446130
"2021-01-27 00:00:00";335582;335667;455038
"2021-01-28 00:00:00";338898;346458;454636
"2021-01-29 00:00:00";340607;346169;454852
"2021-01-30 00:00:00";307055;307937;424089
"2021-01-31 00:00:00";305255;301838;416291
