"DateTime";"XBOX";"PS";"PC"
"2018-09-21 00:00:00";871714;628400;1200000
"2018-09-22 00:00:00";957652;798298;1308167
"2018-09-23 00:00:00";976422;963238;1310000
"2018-09-24 00:00:00";1011511;881126;1221667
"2018-09-25 00:00:00";938558;748189;1420222
"2018-09-26 00:00:00";940857;809339;1245200
"2018-09-27 00:00:00";907388;863042;1330000
"2018-09-28 00:00:00";865281;791032;1432286
"2018-09-29 00:00:00";849873;773513;1222500
"2018-09-30 00:00:00";858980;790520;1104333
"2018-10-01 00:00:00";860586;789214;1076344
"2018-10-02 00:00:00";857724;811120;1048917
"2018-10-03 00:00:00";833685;792677;1052000
"2018-10-04 00:00:00";853633;805779;1032700
"2018-10-05 00:00:00";862883;807413;921429
"2018-10-06 00:00:00";860000;808670;961263
"2018-10-07 00:00:00";856000;807631;967519
"2018-10-08 00:00:00";836383;806231;954727
"2018-10-09 00:00:00";854878;825664;977000
"2018-10-10 00:00:00";859059;839278;946037
"2018-10-11 00:00:00";861881;842822;999813
"2018-10-12 00:00:00";881226;881217;1013714
"2018-10-13 00:00:00";864855;855176;1030250
"2018-10-14 00:00:00";860657;854684;1042033
"2018-10-15 00:00:00";862011;854277;1002919
"2018-10-16 00:00:00";871045;863049;1044696
"2018-10-17 00:00:00";871787;874414;1084123
"2018-10-18 00:00:00";870604;866154;1098171
"2018-10-19 00:00:00";886484;888983;1084130
"2018-10-20 00:00:00";890806;892648;1079927
"2018-10-21 00:00:00";888567;894398;1066816
"2018-10-22 00:00:00";883947;901603;1083350
"2018-10-23 00:00:00";886542;909183;1067150
"2018-10-24 00:00:00";885659;912076;1091450
"2018-10-25 00:00:00";877789;902596;1118037
"2018-10-26 00:00:00";901147;920098;1101719
"2018-10-27 00:00:00";888672;903750;1141857
"2018-10-28 00:00:00";874103;893896;1130866
"2018-10-29 00:00:00";874489;893508;1106161
"2018-10-30 00:00:00";864745;894165;1130791
"2018-10-31 00:00:00";863843;889547;1180200
"2018-11-01 00:00:00";866846;887830;1107517
"2018-11-02 00:00:00";876516;906677;1116421
"2018-11-03 00:00:00";884112;905792;1125190
"2018-11-04 00:00:00";865106;888622;1114377
"2018-11-05 00:00:00";845357;868290;1096222
"2018-11-06 00:00:00";824573;844906;1068136
"2018-11-07 00:00:00";820640;838566;1070831
"2018-11-08 00:00:00";819821;855829;1050404
"2018-11-09 00:00:00";807398;853236;1066735
"2018-11-10 00:00:00";799352;841431;1054227
"2018-11-11 00:00:00";784471;823923;1042736
"2018-11-12 00:00:00";777035;830796;1013898
"2018-11-13 00:00:00";771329;831403;1022192
"2018-11-14 00:00:00";762630;827229;1007377
"2018-11-15 00:00:00";761104;826296;1011341
"2018-11-16 00:00:00";778070;837321;1011509
"2018-11-17 00:00:00";759455;832154;1031129
"2018-11-18 00:00:00";748201;822743;1026250
"2018-11-19 00:00:00";759556;826500;1015783
"2018-11-20 00:00:00";764528;829396;1028017
"2018-11-21 00:00:00";765636;824810;1059655
"2018-11-22 00:00:00";760368;824137;1045745
"2018-11-23 00:00:00";771299;834810;1052186
"2018-11-24 00:00:00";800024;859623;1056800
"2018-11-25 00:00:00";796852;855507;1069796
"2018-11-26 00:00:00";803604;858961;1064961
"2018-11-27 00:00:00";817127;882254;1091609
"2018-11-28 00:00:00";832421;894240;1089983
"2018-11-29 00:00:00";839873;910605;1096481
"2018-11-30 00:00:00";859868;920725;1105596
"2018-12-01 00:00:00";859819;909464;1139942
"2018-12-02 00:00:00";848524;898000;1123745
"2018-12-03 00:00:00";851543;903645;1100507
"2018-12-04 00:00:00";852500;909049;1093943
"2018-12-05 00:00:00";845901;908143;1090851
"2018-12-06 00:00:00";852203;910724;1097488
"2018-12-07 00:00:00";861104;911904;1102627
"2018-12-08 00:00:00";877691;919772;1135961
"2018-12-09 00:00:00";878299;919538;1144163
"2018-12-10 00:00:00";880035;926559;1115963
"2018-12-11 00:00:00";880848;927008;1125750
"2018-12-12 00:00:00";873296;921495;1107980
"2018-12-13 00:00:00";870000;924467;1098906
"2018-12-14 00:00:00";880614;925259;1107908
"2018-12-15 00:00:00";849754;895524;1115074
"2018-12-16 00:00:00";830108;881290;1100000
"2018-12-17 00:00:00";835896;889291;1058507
"2018-12-18 00:00:00";840657;893657;1062567
"2018-12-19 00:00:00";842378;894632;1060129
"2018-12-20 00:00:00";852271;911367;1083047
"2018-12-21 00:00:00";867551;924734;1141776
"2018-12-22 00:00:00";867962;914553;1125267
"2018-12-23 00:00:00";865029;911729;1090597
"2018-12-24 00:00:00";852826;905409;1095122
"2018-12-25 00:00:00";849589;898793;1080453
"2018-12-26 00:00:00";854660;907479;1090704
"2018-12-27 00:00:00";865460;907734;1095667
"2018-12-28 00:00:00";871583;914296;1121968
"2018-12-29 00:00:00";862306;897752;1143603
"2018-12-30 00:00:00";845063;879209;1094740
"2018-12-31 00:00:00";834132;877145;1069000
"2019-01-01 00:00:00";835147;878965;1095391
"2019-01-02 00:00:00";821153;873077;1107263
"2019-01-03 00:00:00";804653;865528;1091744
"2019-01-04 00:00:00";811618;851147;1083133
"2019-01-05 00:00:00";812847;850410;1069906
"2019-01-06 00:00:00";800271;843688;1072480
"2019-01-07 00:00:00";797833;850489;1068754
"2019-01-08 00:00:00";811910;859347;1094970
"2019-01-09 00:00:00";801092;841992;1057214
"2019-01-10 00:00:00";799081;834852;1021750
"2019-01-11 00:00:00";804198;853080;1034661
"2019-01-12 00:00:00";788961;832180;1026635
"2019-01-13 00:00:00";799086;839899;1040933
"2019-01-14 00:00:00";800029;852801;1063955
"2019-01-15 00:00:00";806290;871591;1103480
"2019-01-16 00:00:00";802357;861228;1094119
"2019-01-17 00:00:00";797380;864387;1078712
"2019-01-18 00:00:00";794624;856656;1099889
"2019-01-19 00:00:00";751269;822546;1067842
"2019-01-20 00:00:00";730926;799681;1077869
"2019-01-21 00:00:00";709156;789558;1055974
"2019-01-22 00:00:00";705700;779171;1041905
"2019-01-23 00:00:00";698657;768556;1011915
"2019-01-24 00:00:00";696853;778421;1017820
"2019-01-25 00:00:00";705918;785023;1022952
"2019-01-26 00:00:00";701336;777757;1005478
"2019-01-27 00:00:00";695590;776271;997083
"2019-01-28 00:00:00";701799;771340;998443
"2019-01-29 00:00:00";693563;772229;1003149
"2019-01-30 00:00:00";685014;767819;988882
"2019-01-31 00:00:00";697880;776697;990235
"2019-02-01 00:00:00";694171;774643;995547
"2019-02-02 00:00:00";690270;769451;993644
"2019-02-03 00:00:00";685280;762063;986341
"2019-02-04 00:00:00";672601;751507;978933
"2019-02-05 00:00:00";656732;733035;965395
"2019-02-06 00:00:00";655127;730243;944800
"2019-02-07 00:00:00";653632;735137;934026
"2019-02-08 00:00:00";660511;731441;938730
"2019-02-09 00:00:00";654986;723657;942228
"2019-02-10 00:00:00";652138;720061;928898
"2019-02-11 00:00:00";645450;715029;935625
"2019-02-12 00:00:00";641390;701957;928931
"2019-02-13 00:00:00";621818;685242;915785
"2019-02-14 00:00:00";607235;679152;920129
"2019-02-15 00:00:00";593189;662458;908161
"2019-02-16 00:00:00";576349;621946;834235
"2019-02-17 00:00:00";561959;603282;826889
"2019-02-18 00:00:00";548581;597626;813250
"2019-02-19 00:00:00";553014;600860;829653
"2019-02-20 00:00:00";560066;608104;832675
"2019-02-21 00:00:00";568743;626267;835136
"2019-02-22 00:00:00";584103;629619;854500
"2019-02-23 00:00:00";588523;631674;849232
"2019-02-24 00:00:00";594750;645390;848942
"2019-02-25 00:00:00";598636;654587;863423
"2019-02-26 00:00:00";603278;669121;858671
"2019-02-27 00:00:00";607132;673514;879416
"2019-02-28 00:00:00";623819;688573;895866
"2019-03-01 00:00:00";628217;691619;878739
"2019-03-02 00:00:00";625716;686711;889420
"2019-03-03 00:00:00";616611;676467;871435
"2019-03-04 00:00:00";599585;668340;860861
"2019-03-05 00:00:00";600914;670293;852527
"2019-03-06 00:00:00";591904;658888;854983
"2019-03-07 00:00:00";594779;664125;842020
"2019-03-08 00:00:00";574541;639271;829222
"2019-03-09 00:00:00";547613;610820;810617
"2019-03-10 00:00:00";537864;591610;802471
"2019-03-11 00:00:00";533063;593135;809506
"2019-03-12 00:00:00";523868;589360;808183
"2019-03-13 00:00:00";513923;578504;788000
"2019-03-14 00:00:00";526146;593430;794803
"2019-03-15 00:00:00";543465;610064;798708
"2019-03-16 00:00:00";545888;606777;790721
"2019-03-17 00:00:00";538979;597343;774787
"2019-03-18 00:00:00";553000;606366;792598
"2019-03-19 00:00:00";551606;605688;783746
"2019-03-20 00:00:00";531895;587500;769806
"2019-03-21 00:00:00";510368;577638;737773
"2019-03-22 00:00:00";500399;556390;707919
"2019-03-23 00:00:00";495340;547510;702566
"2019-03-24 00:00:00";499500;554722;712628
"2019-03-25 00:00:00";492910;544245;694391
