"DateTime";"XBOX";"PS";"PC"
"2021-09-22 00:00:00";591000;244333;143000
"2021-09-23 00:00:00";653538;713670;646538
"2021-09-24 00:00:00";657876;747246;668513
"2021-09-25 00:00:00";685600;811268;756250
"2021-09-26 00:00:00";674242;787542;736313
"2021-09-27 00:00:00";681157;787507;748689
"2021-09-28 00:00:00";706096;815451;755184
"2021-09-29 00:00:00";755983;890965;825833
"2021-09-30 00:00:00";754701;909764;855468
"2021-10-01 00:00:00";716000;859493;848608
"2021-10-02 00:00:00";702798;848852;823131
"2021-10-03 00:00:00";706912;856451;834644
"2021-10-04 00:00:00";710248;867336;849275
"2021-10-05 00:00:00";704598;890097;868786
"2021-10-06 00:00:00";702953;893903;878014
"2021-10-07 00:00:00";697081;874196;852706
"2021-10-08 00:00:00";682664;851958;846253
"2021-10-09 00:00:00";702542;874056;884865
"2021-10-10 00:00:00";714289;892382;908845
"2021-10-11 00:00:00";734377;909674;924197
"2021-10-12 00:00:00";745771;924750;954873
"2021-10-13 00:00:00";749169;920162;959309
"2021-10-14 00:00:00";747979;899458;943211
"2021-10-15 00:00:00";727091;877083;923610
"2021-10-16 00:00:00";732580;888296;936576
"2021-10-17 00:00:00";726836;885404;927652
"2021-10-18 00:00:00";738875;891121;954678
"2021-10-19 00:00:00";743802;891681;962677
"2021-10-20 00:00:00";734343;875880;949697
"2021-10-21 00:00:00";732898;865868;946394
"2021-10-22 00:00:00";728946;870257;936194
"2021-10-23 00:00:00";702421;826875;919569
"2021-10-24 00:00:00";688775;801194;909701
"2021-10-25 00:00:00";663360;770035;882276
"2021-10-26 00:00:00";668050;777167;864500
"2021-10-27 00:00:00";669926;778521;860805
"2021-10-28 00:00:00";671560;768118;855967
"2021-10-29 00:00:00";633676;718163;793646
"2021-10-30 00:00:00";611327;699111;782582
"2021-10-31 00:00:00";600363;688353;777162
"2021-11-01 00:00:00";594873;691778;777423
"2021-11-02 00:00:00";584719;686472;765493
"2021-11-03 00:00:00";575022;663674;718099
"2021-11-04 00:00:00";574993;649160;714519
"2021-11-05 00:00:00";578118;654889;719205
"2021-11-06 00:00:00";568604;644410;710394
"2021-11-07 00:00:00";548257;616819;683714
"2021-11-08 00:00:00";466688;525500;606404
"2021-11-09 00:00:00";460272;522322;600164
"2021-11-10 00:00:00";452326;517352;589983
"2021-11-11 00:00:00";440818;505881;571754
"2021-11-12 00:00:00";447319;508500;586076
"2021-11-13 00:00:00";448853;510014;585561
"2021-11-14 00:00:00";449771;506618;588640
"2021-11-15 00:00:00";442797;499951;584689
"2021-11-16 00:00:00";442410;500514;573348
"2021-11-17 00:00:00";438299;499986;568699
"2021-11-18 00:00:00";439479;503444;567746
"2021-11-19 00:00:00";438867;506479;568895
"2021-11-20 00:00:00";399757;454750;517709
"2021-11-21 00:00:00";374458;424181;484424
"2021-11-22 00:00:00";365931;421694;480754
"2021-11-23 00:00:00";366014;427208;482266
"2021-11-24 00:00:00";371382;435111;490424
"2021-11-25 00:00:00";370826;431653;491602
"2021-11-26 00:00:00";385479;449444;508126
"2021-11-27 00:00:00";394979;464361;526039
"2021-11-28 00:00:00";388147;449510;509261
"2021-11-29 00:00:00";389819;456799;523069
"2021-11-30 00:00:00";402259;470271;540240
"2021-12-01 00:00:00";398636;468819;537329
"2021-12-02 00:00:00";398900;475993;544090
"2021-12-03 00:00:00";394163;471566;537656
"2021-12-04 00:00:00";380170;457694;526254
"2021-12-05 00:00:00";370819;452722;524762
"2021-12-06 00:00:00";377208;457711;528549
"2021-12-07 00:00:00";374736;464238;534198
"2021-12-08 00:00:00";376979;465455;527930
"2021-12-09 00:00:00";362204;452504;515043
"2021-12-10 00:00:00";341007;435797;507894
"2021-12-11 00:00:00";330197;428035;500857
"2021-12-12 00:00:00";315239;413306;494044
"2021-12-13 00:00:00";298743;391847;482381
"2021-12-14 00:00:00";301782;397368;467744
"2021-12-15 00:00:00";300567;395618;467391
"2021-12-16 00:00:00";295322;387752;453346
"2021-12-17 00:00:00";279896;369110;449800
"2021-12-18 00:00:00";260664;337585;404114
"2021-12-19 00:00:00";256086;327542;404261
"2021-12-20 00:00:00";256406;325896;402059
"2021-12-21 00:00:00";254317;321632;395276
"2021-12-22 00:00:00";257784;322930;391840
"2021-12-23 00:00:00";246528;314222;381315
"2021-12-24 00:00:00";246451;326035;388932
"2021-12-25 00:00:00";242238;315347;386758
"2021-12-26 00:00:00";230438;295042;379886
"2021-12-27 00:00:00";226535;296424;373274
"2021-12-28 00:00:00";234732;302924;381245
"2021-12-29 00:00:00";227340;296347;375284
"2021-12-30 00:00:00";232715;303701;381442
"2021-12-31 00:00:00";239368;308451;386265
"2022-01-01 00:00:00";244514;310181;389547
"2022-01-02 00:00:00";252153;313451;392741
"2022-01-03 00:00:00";245910;309826;391409
"2022-01-04 00:00:00";236875;303882;385697
"2022-01-05 00:00:00";235931;304208;384486
"2022-01-06 00:00:00";239757;306576;386292
"2022-01-07 00:00:00";241042;308799;394010
"2022-01-08 00:00:00";239813;308215;392286
"2022-01-09 00:00:00";241389;305701;389813
"2022-01-10 00:00:00";232231;291896;379882
"2022-01-11 00:00:00";222063;278361;374523
